date,rainfall_departure_pct
1938-02-01,39.8
1938-03-01,13.04
1938-04-01,-1.55
1938-05-01,15.19
1938-06-01,51.44
1938-07-01,4.22
1938-08-01,-2.1
1938-09-01,8.05
1938-10-01,-0.6
1938-11-01,-17.86
1938-12-01,-45.62
1939-01-01,-26.12
1939-02-01,35.23
1939-03-01,-3.69
1939-04-01,5.58
1939-05-01,-29.45
1939-06-01,4.83
1939-07-01,-2.61
1939-08-01,-10.06
1939-09-01,-8.35
1939-10-01,14.93
1939-11-01,0.76
1939-12-01,-72.3
1940-01-01,-27.29
1940-02-01,29.52
1940-03-01,79.1
1940-04-01,-35.11
1940-05-01,14.62
1940-06-01,-1.51
1940-07-01,8.35
1940-08-01,16.62
1940-09-01,-21.02
1940-10-01,-17.01
1940-11-01,29.98
1940-12-01,38.89
1941-01-01,40.75
1941-02-01,-24.8
1941-03-01,-42.73
1941-04-01,-16.72
1941-05-01,28.57
1941-06-01,3.89
1941-07-01,-17.47
1941-08-01,-11.23
1941-09-01,-5.49
1941-10-01,-13.92
1941-11-01,-9.81
1941-12-01,47.44
1942-01-01,25.76
1942-02-01,81.72
1942-03-01,-21.98
1942-04-01,28.72
1942-05-01,-6.23
1942-06-01,18.65
1942-07-01,17.41
1942-08-01,6.93
1942-09-01,4.4
1942-10-01,-48.1
1942-11-01,-48.36
1942-12-01,56.54
1943-01-01,233.74
1943-02-01,-45.17
1943-03-01,1.12
1943-04-01,25.19
1943-05-01,43.95
1943-06-01,5.6
1943-07-01,6.66
1943-08-01,-13.95
1943-09-01,22.77
1943-10-01,15.95
1943-11-01,-35.54
1943-12-01,-68.04
1944-01-01,72.09
1944-02-01,69.72
1944-03-01,88.29
1944-04-01,-18.29
1944-05-01,-7.37
1944-06-01,-7.08
1944-07-01,17.7
1944-08-01,-1.92
1944-09-01,-6.87
1944-10-01,12.76
1944-11-01,-6.39
1944-12-01,-10.06
1945-01-01,105.93
1945-02-01,-50.98
1945-03-01,-37.01
1945-04-01,10.85
1945-05-01,-25.42
1945-06-01,-8.72
1945-07-01,17.73
1945-08-01,-3.17
1945-09-01,21.73
1945-10-01,-1.87
1945-11-01,-39.13
1945-12-01,-62.16
1946-01-01,-63.71
1946-02-01,-22.52
1946-03-01,-7.89
1946-04-01,34.2
1946-05-01,7.09
1946-06-01,22.96
1946-07-01,10.83
1946-08-01,15.25
1946-09-01,-7.36
1946-10-01,7.96
1946-11-01,93.19
1946-12-01,120.54
1947-01-01,27.83
1947-02-01,-10.36
1947-03-01,7.35
1947-04-01,18.89
1947-05-01,-20.34
1947-06-01,-13.01
1947-07-01,12.08
1947-08-01,14.27
1947-09-01,39.92
1947-10-01,-11.78
1947-11-01,-76.22
1947-12-01,41.03
1948-01-01,44.0
1948-02-01,34.98
1948-03-01,37.48
1948-04-01,16.57
1948-05-01,29.39
1948-06-01,-3.37
1948-07-01,19.15
1948-08-01,10.26
1948-09-01,-1.01
1948-10-01,-17.93
1948-11-01,98.74
1948-12-01,-50.95
1949-01-01,-39.1
